reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.010,217.613294
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.025,234.906666
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.050,242.457674
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.100,249.591436
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.150,257.549082
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.200,263.987134
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.250,268.253471
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.300,272.004085
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.350,275.041015
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.400,279.103035
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.450,282.476819
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.500,286.326964
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.550,290.858908
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.600,295.090066
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.650,299.445820
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.700,305.508770
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.750,310.891793
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.800,317.014969
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.850,323.245243
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.900,333.290428
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.950,338.548463
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.975,342.481884
2023-12-16,wk inc covid hosp,-1,2023-12-09,01,quantile,0.990,356.504161
2023-12-16,wk covid hosp rate change,-1,2023-12-09,01,pmf,stable,0.882000
2023-12-16,wk covid hosp rate change,-1,2023-12-09,01,pmf,increase,0.094000
2023-12-16,wk covid hosp rate change,-1,2023-12-09,01,pmf,large_increase,0.004000
2023-12-16,wk covid hosp rate change,-1,2023-12-09,01,pmf,decrease,0.016000
2023-12-16,wk covid hosp rate change,-1,2023-12-09,01,pmf,large_decrease,0.004000
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.010,199.586855
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.025,212.221958
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.050,227.845160
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.100,236.655878
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.150,246.726978
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.200,255.217835
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.250,261.377403
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.300,268.276910
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.350,274.559807
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.400,280.346527
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.450,286.569398
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.500,292.640176
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.550,298.644441
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.600,306.169473
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.650,315.673144
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.700,325.112318
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.750,334.832271
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.800,342.724474
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.850,352.342622
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.900,365.644592
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.950,374.261007
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.975,387.395141
2023-12-16,wk inc covid hosp,0,2023-12-16,01,quantile,0.990,407.067220
2023-12-16,wk covid hosp rate change,0,2023-12-16,01,pmf,stable,0.674000
2023-12-16,wk covid hosp rate change,0,2023-12-16,01,pmf,increase,0.254000
2023-12-16,wk covid hosp rate change,0,2023-12-16,01,pmf,large_increase,0.006000
2023-12-16,wk covid hosp rate change,0,2023-12-16,01,pmf,decrease,0.062000
2023-12-16,wk covid hosp rate change,0,2023-12-16,01,pmf,large_decrease,0.004000
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.010,161.049204
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.025,185.831647
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.050,206.344593
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.100,223.511548
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.150,236.203948
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.200,245.305496
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.250,255.083602
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.300,266.157773
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.350,272.729874
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.400,282.249036
2023-12-16,wk inc covid hosp,1,2023-12-23,01,quantile,0.450,289.779283
