reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.010,481.001966
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.025,517.518474
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.050,537.442747
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.100,564.687189
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.150,579.963979
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.200,592.055268
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.250,600.646480
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.300,606.282287
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.350,613.409421
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.400,618.529580
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.450,622.647076
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.500,626.282133
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.550,630.031442
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.600,633.752621
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.650,637.986787
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.700,641.782868
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.750,646.973876
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.800,651.917238
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.850,658.661592
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.900,669.781788
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.950,677.524838
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.975,692.707490
2024-01-20,wk inc covid hosp,-1,2024-01-13,01,quantile,0.990,712.421580
2024-01-20,wk covid hosp rate change,-1,2024-01-13,01,pmf,stable,0.342000
2024-01-20,wk covid hosp rate change,-1,2024-01-13,01,pmf,increase,0.522000
2024-01-20,wk covid hosp rate change,-1,2024-01-13,01,pmf,large_increase,0.112000
2024-01-20,wk covid hosp rate change,-1,2024-01-13,01,pmf,decrease,0.018000
2024-01-20,wk covid hosp rate change,-1,2024-01-13,01,pmf,large_decrease,0.006000
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.010,436.302943
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.025,503.194580
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.050,541.415495
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.100,579.252999
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.150,604.521820
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.200,626.353289
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.250,638.432231
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.300,648.919170
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.350,655.162094
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.400,662.900553
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.450,667.407409
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.500,675.005056
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.550,681.189008
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.600,686.779373
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.650,694.148702
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.700,702.850389
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.750,712.074858
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.800,718.831854
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.850,728.189780
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.900,746.333822
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.950,771.371419
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.975,800.892249
2024-01-20,wk inc covid hosp,0,2024-01-20,01,quantile,0.990,834.777162
2024-01-20,wk covid hosp rate change,0,2024-01-20,01,pmf,stable,0.144000
2024-01-20,wk covid hosp rate change,0,2024-01-20,01,pmf,increase,0.610000
2024-01-20,wk covid hosp rate change,0,2024-01-20,01,pmf,large_increase,0.214000
2024-01-20,wk covid hosp rate change,0,2024-01-20,01,pmf,decrease,0.028000
2024-01-20,wk covid hosp rate change,0,2024-01-20,01,pmf,large_decrease,0.004000
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.010,387.137422
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.025,466.473727
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.050,524.820688
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.100,585.898137
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.150,617.578368
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.200,642.772504
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.250,665.004048
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.300,677.583645
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.350,688.792693
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.400,701.468256
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.450,706.177140
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.500,713.833645
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.550,727.519687
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.600,738.224492
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.650,746.730667
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.700,757.828546
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.750,769.936325
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.800,783.014965
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.850,799.874442
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.900,831.812330
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.950,875.804211
2024-01-20,wk inc covid hosp,1,2024-01-27,01,quantile,0.975,908.333066
