reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.01,16292.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.025,18614.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.05,21653.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.1,24554.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.15,26143.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.2,27688.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.25,29090.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.3,30304.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.35,31447.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.4,32403.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.45,33477.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.5,34681.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.55,35627.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.6,36801.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.65,38031.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.7,39296.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.75,40765.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.8,42384.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.85,44347.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.9,47039.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.95,51783.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.975,55753.0
2025-01-11,wk inc flu hosp,0,2025-01-11,US,quantile,0.99,59885.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.01,13352.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.025,15721.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.05,17857.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.1,21294.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.15,23596.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.2,25302.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.25,27095.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.3,28491.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.35,30023.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.4,31388.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.45,32652.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.5,33794.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.55,35215.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.6,36502.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.65,38080.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.7,39749.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.75,41465.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.8,43072.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.85,45502.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.9,48361.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.95,53601.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.975,57425.0
2025-01-11,wk inc flu hosp,1,2025-01-18,US,quantile,0.99,62458.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.01,11727.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.025,14369.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.05,16282.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.1,19608.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.15,21954.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.2,24091.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.25,25469.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.3,27051.0
2025-01-11,wk inc flu hosp,2,2025-01-25,US,quantile,0.35,28455.0
