reference_date,target,age,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.010,20.373083
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.025,23.081833
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.050,25.938333
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.100,30.288750
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.150,33.621333
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.200,38.415000
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.250,43.044500
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.300,45.342833
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.350,48.560500
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.400,51.302083
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.450,55.176417
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.500,59.838750
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.550,65.469667
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.600,70.526000
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.650,76.189750
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.700,80.786417
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.750,89.355917
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.800,95.265917
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.850,104.311500
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.900,115.934500
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.950,131.448250
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.975,145.287500
2024-02-10,wk inc covid hosp,<1,0,2024-02-03,CA,quantile,0.990,153.742083
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.010,14.945875
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.025,16.151000
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.050,18.169875
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.100,21.626375
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.150,24.226500
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.200,27.287750
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.250,30.174625
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.300,33.069250
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.350,36.122750
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.400,38.742250
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.450,41.319125
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.500,44.407500
2024-02-10,wk inc covid hosp,1-4,0,2024-02-03,CA,quantile,0.550,47.871750
