origin_date,target,horizon,location,age_group,output_type,output_type_id,value
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.01,0
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.025,0
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.05,0
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.1,0
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.15,0
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.2,0
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.25,1.05095833333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.3,4.27683333333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.35,7.03483333333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.4,9.25108333333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.45,12.5754583333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.5,15.8998333333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.55,18.6085833333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.6,20.74275
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.65,22.9425833333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.7,27.3258333333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.75,31.2494166666667
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.8,36.1744166666667
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.85,44.3170833333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.9,56.1370833333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.95,73.0298333333333
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.975,124.61735105625
2024-03-31,inc hosp,0,06,0-0.99,quantile,0.99,126.5345410725
2024-03-31,inc hosp,0,06,0-0.99,point,NaN,15.8998333333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.01,0
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.025,0
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.05,0
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.1,0
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.15,0
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.2,0
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.25,1.64195833333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.3,3.58733333333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.35,6.76395833333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.4,11.7382083333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.45,15.5058333333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.5,19.9383333333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.55,22.5485833333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.6,27.293
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.65,30.4285833333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.7,35.4849166666667
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.75,41.1650833333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.8,48.6510833333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.85,63.8693333333333
2024-03-31,inc hosp,1,06,0-0.99,quantile,0.9,90.28375
