state_abbr,05-Oct-2024,12-Oct-2024,19-Oct-2024,26-Oct-2024,02-Nov-2024,09-Nov-2024,16-Nov-2024,23-Nov-2024,30-Nov-2024,07-Dec-2024,14-Dec-2024,21-Dec-2024,28-Dec-2024,04-Jan-2025,11-Jan-2025,18-Jan-2025,25-Jan-2025,01-Feb-2025,08-Feb-2025,15-Feb-2025,22-Feb-2025,01-Mar-2025,08-Mar-2025,15-Mar-2025
AL,9,22,21,27,47,115,83,71,91,104,113,152,216,226,215,192,178,212,227,225,186,210,239,247
AK,3,5,5,6,9,13,10,8,5,17,8,10,14,6,14,7,5,9,10,11,10,19,14,21
AZ,93,17,33,419,451,519,675,779,743,838,756,763,776,719,462,449,312,403,291,298,262,279,224,174
AR,23,1,12,20,36,61,46,52,58,66,61,83,125,154,105,109,104,99,125,109,84,109,115,91
CA,722,309,561,550,537,634,683,656,691,752,737,820,932,1020,900,905,913,989,891,862,689,661,620,565
CO,30,85,30,45,67,145,163,150,171,183,173,228,289,335,236,172,166,153,135,131,102,81,96,103
CT,183,0,109,102,102,82,70,79,68,94,101,96,160,236,227,188,157,190,166,149,126,118,84,78
DE,59,7,13,8,10,20,18,20,26,24,25,42,48,80,41,42,21,32,31,28,23,23,35,41
DC,15,0,0,0,5,11,17,24,11,18,22,22,24,25,24,22,29,30,26,13,43,25,32,31
FL,240,12,146,99,129,421,334,257,320,299,332,398,432,644,571,544,616,613,609,494,460,447,379,436
GA,53,12,31,46,52,89,80,76,84,114,159,171,232,302,251,257,211,288,312,262,247,262,275,293
HI,2,20,5,4,5,22,20,13,10,15,13,13,9,23,27,18,12,10,13,10,16,18,15,7
ID,6,11,9,9,18,35,22,22,23,34,46,36,56,58,47,33,26,25,32,37,26,30,39,28
IL,182,58,33,71,119,233,219,257,274,326,439,551,807,1101,806,715,624,604,629,544,526,489,450,440
IN,116,17,22,47,98,185,145,166,156,257,314,400,549,673,536,420,335,361,371,362,350,275,236,240
IA,89,8,32,36,44,50,43,55,54,87,84,87,127,174,162,147,163,130,120,116,85,73,74,51
KS,12,2,18,25,37,62,48,59,50,94,93,135,200,233,160,122,121,98,108,112,103,109,105,62
KY,21,3,34,46,90,131,107,107,96,137,165,228,317,449,280,231,204,207,249,231,207,215,184,172
LA,43,1,24,42,63,78,67,68,65,80,104,112,141,194,163,138,134,163,181,170,147,177,152,136
ME,9,2,14,12,11,36,25,21,25,20,33,28,50,93,99,88,55,46,41,26,20,9,17,17
MD,41,8,17,24,58,99,69,87,77,86,88,112,144,319,216,196,207,190,197,220,187,159,132,130
MA,NaN,6,7,0,34,234,296,368,368,448,425,385,375,596,628,439,422,352,285,295,240,254,220,128
MI,335,15,40,92,155,611,628,450,595,588,676,547,735,907,988,628,551,577,498,456,435,381,305,221
MN,NaN,1,53,37,119,117,102,142,134,192,225,259,354,508,371,326,273,216,178,148,128,116,112,113
