state_abbr,05-Oct-2024,12-Oct-2024,19-Oct-2024,26-Oct-2024,02-Nov-2024,09-Nov-2024,16-Nov-2024,23-Nov-2024,30-Nov-2024,07-Dec-2024,14-Dec-2024,21-Dec-2024,28-Dec-2024,04-Jan-2025,11-Jan-2025,18-Jan-2025,25-Jan-2025,01-Feb-2025,08-Feb-2025,15-Feb-2025
AL,0,2,6,9,13,32,44,50,65,102,193,437,667,690,477,490,632,742,652,415
AK,1,1,1,3,8,5,9,5,9,17,25,18,19,62,39,32,25,28,26,44
AZ,40,4,14,187,129,291,363,520,590,884,995,1507,2295,2831,1492,1099,1005,873,838,726
AR,3,0,2,1,6,11,13,8,12,32,41,58,128,208,157,216,384,503,679,409
CA,30,30,75,137,110,158,313,479,693,1064,1400,2434,3490,3838,3046,3365,3893,4297,3402,2631
CO,3,0,2,14,25,20,29,31,67,90,128,179,475,760,499,441,456,543,604,577
CT,4,0,5,6,10,4,5,4,10,13,24,41,148,294,247,245,378,466,537,499
DE,0,0,0,0,0,1,4,7,5,15,15,43,96,185,74,66,80,140,157,160
DC,0,0,0,0,1,3,1,8,6,2,6,19,38,96,44,58,203,197,248,83
FL,53,17,134,114,110,360,375,423,605,698,865,1251,2056,2618,2411,2666,3091,3627,3100,2300
GA,1,0,5,8,14,41,43,47,56,88,214,388,773,1102,821,963,1182,1346,1230,602
HI,0,1,1,2,3,7,15,8,14,20,34,42,57,124,98,91,81,70,81,79
ID,0,3,6,1,6,8,12,31,63,77,107,185,333,238,143,130,106,162,165,152
IL,2,1,5,12,27,36,34,87,83,105,239,488,1137,1554,1377,1316,1734,2138,2240,1858
IN,4,3,3,3,14,28,26,32,41,65,140,275,586,806,502,530,678,1243,1667,1570
IA,1,0,1,4,5,4,5,4,4,13,23,42,116,166,261,236,300,431,566,460
KS,0,0,1,3,10,7,11,17,20,35,88,120,224,350,234,200,212,377,459,462
KY,0,0,2,4,7,16,18,19,24,52,79,193,477,650,427,385,398,715,1149,1154
LA,5,0,13,23,27,85,84,78,141,160,252,417,591,607,461,487,511,585,444,395
ME,0,0,0,0,0,1,0,0,2,3,2,10,30,88,92,86,104,151,196,267
MD,1,0,2,0,4,9,11,16,21,37,73,131,178,407,372,459,582,810,988,1035
MA,NaN,0,0,0,3,30,16,45,63,83,126,137,256,520,585,731,991,1290,1574,1257
MI,12,2,4,4,7,36,46,56,65,91,167,179,429,555,620,496,863,1093,1244,1320
MN,NaN,0,88,0,4,17,8,11,18,40,92,227,545,949,895,925,872,880,676,474
MS,10,0,4,0,15,23,24,35,28,39,61,94,212,270,216,225,323,536,467,262
MO,0,1,2,8,13,30,29,40,41,54,81,242,601,820,634,557,648,1035,1231,923
MT,0,0,2,0,0,0,4,1,2,2,6,27,60,69,65,80,67,109,157,125
NE,0,0,0,1,2,4,6,4,11,10,19,78,131,189,171,126,181,306,303,301
NV,1,0,5,5,11,25,43,47,61,81,113,208,255,387,260,189,195,172,207,144
NH,0,0,0,0,1,5,6,11,14,16,22,24,53,108,90,85,144,172,199,142
NJ,17,0,0,2,28,30,37,47,67,109,174,335,723,1350,1074,1259,1591,1794,1888,1517
NM,1,2,2,15,2,16,21,28,55,103,108,207,234,310,249,250,194,212,203,231
NY,7,0,5,7,15,55,63,103,145,274,426,740,1540,2538,2249,2567,2899,3030,2852,2380
NC,0,77,48,47,14,27,38,31,43,65,173,292,608,915,831,1104,1553,1905,2245,1523
ND,0,1,0,0,2,0,1,3,1,2,0,8,22,56,38,61,89,104,123,81
OH,0,1,11,229,17,24,40,40,55,91,151,298,698,1302,1037,1146,1700,2472,3134,3494
OK,0,0,0,4,3,13,13,14,40,40,57,104,283,402,285,439,697,1115,1030,550
OR,0,6,4,7,7,25,35,62,80,118,197,386,549,536,319,289,272,497,555,449
PA,61,26,6,63,97,142,111,134,115,175,267,365,1005,1670,1587,2476,3041,3730,4177,4318
RI,0,0,0,0,2,3,0,2,6,10,28,23,45,88,69,107,113,173,193,170
SC,1,0,8,8,11,21,13,12,18,40,77,160,327,509,430,591,823,1259,1194,686
SD,0,1,1,2,0,2,0,0,5,1,8,13,33,45,47,53,80,139,197,170
TN,4,2,8,31,45,80,94,58,60,115,215,372,747,1060,685,568,646,944,1010,677
TX,2,79,46,64,103,182,223,273,403,529,707,1167,2040,2517,2012,2410,3251,4662,4097,2358
UT,0,0,1,5,2,7,10,20,20,64,87,163,287,387,256,180,185,195,209,201
VT,0,0,1,0,0,0,3,0,3,0,8,8,19,33,35,39,56,83,125,98
VA,6,19,15,10,16,26,26,35,46,68,140,192,363,644,457,472,658,986,1153,1077
WA,10,7,1,4,2,14,22,29,46,78,186,416,541,531,388,357,417,578,749,647
WV,NaN,0,0,0,0,6,4,4,3,13,21,37,102,198,144,133,160,267,446,617
WI,1,0,7,7,5,12,6,18,12,27,66,113,253,389,388,593,812,994,1119,1030
WY,2,0,0,7,0,5,4,8,7,5,31,14,90,121,62,86,87,103,98,73
PR,3,9,6,12,14,43,77,42,279,440,378,354,30,1010,1249,415,319,48,164,237
VI,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US,287,295,553,1082,976,2033,2441,3090,4347,6355,9141,15261,26999,38155,30702,32570,39965,50329,52447,43411
